ticker,data_date,sector,industry,open,high,low,close,volume,frequency,nbss,nbsf
JATI,2023-12-22,Technology,Online Applications & Services,50.00,50.00,50.00,50.00,114000,38,5700000,-4450000
JAWA,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,130.00,134.00,121.00,127.00,981900,337,-26208200,8032400
JAYA,2023-12-22,Transportation & Logistic,Logistics & Deliveries,113.00,115.00,112.00,113.00,754800,129,-62519500,0
JECC,2023-12-22,Industrials,Electrical,2430.00,2430.00,2430.00,2430.00,0,0,0,0
JGLE,2023-12-22,Consumer Cyclicals,Tourism & Recreation,50.00,50.00,50.00,50.00,0,0,0,0
JIHD,2023-12-22,Consumer Cyclicals,Tourism & Recreation,390.00,398.00,372.00,398.00,53300,22,-13368600,315600
JKON,2023-12-22,Infrastructures,Heavy Constructions & Civil Engineering,89.00,91.00,88.00,88.00,4434800,347,-152063600,-72713400
JKSW,2023-12-22,Basic Materials,Construction Materials,60.00,60.00,60.00,60.00,0,0,0,0
JMAS,2023-12-22,Financials,Insurance,60.00,60.00,57.00,57.00,868800,112,-28894700,0
JPFA,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,1190.00,1195.00,1185.00,1195.00,2353400,1170,617200512,718451520
JRPT,2023-12-22,Properties & Real Estate,Real Estate Management & Development,690.00,695.00,680.00,685.00,1133000,56,-289236992,-415144512
JSKY,2023-12-22,Energy,Alternative Energy Equipment,52.00,52.00,52.00,52.00,0,0,0,0
JSMR,2023-12-22,Infrastructures,Transport Infrastructure Operator,4770.00,4800.00,4730.00,4790.00,1348900,756,1759154048,81705000
JSPT,2023-12-22,Consumer Cyclicals,Tourism & Recreation,1240.00,1240.00,1240.00,1240.00,100,1,0,0
JTPE,2023-12-22,Industrials,Commercial Services,306.00,310.00,290.00,302.00,54475200,2249,-7983774720,159652800
KAEF,2023-12-22,Healthcare,Pharmaceuticals,1520.00,1735.00,1450.00,1525.00,100276896,30870,-6249518080,-67732496
KARW,2023-12-22,Infrastructures,Transport Infrastructure Operator,50.00,50.00,50.00,50.00,124500,12,-3775000,0
KAYU,2023-12-22,Basic Materials,Forestry & Paper,330.00,434.00,330.00,330.00,12488900,2988,-58665200,-1796856960
KBAG,2023-12-22,Properties & Real Estate,Real Estate Management & Development,50.00,50.00,50.00,50.00,2100,3,105000,0
KBLI,2023-12-22,Industrials,Electrical,334.00,340.00,328.00,340.00,960800,86,193285792,2726600
KBLM,2023-12-22,Industrials,Electrical,268.00,278.00,266.00,276.00,315000,31,-21698000,-29338800
KBLV,2023-12-22,Infrastructures,Telecommunication Service,73.00,73.00,69.00,69.00,46000,41,-6100,0
KBRI,2023-12-22,Basic Materials,Forestry & Paper,50.00,50.00,50.00,50.00,0,0,0,0
KDSI,2023-12-22,Basic Materials,Containers & Packaging,1700.00,1720.00,1700.00,1700.00,21900,13,14771000,0
KDTN,2023-12-22,Consumer Cyclicals,Tourism & Recreation,115.00,116.00,112.00,116.00,78600,29,-2018400,0
KEEN,2023-12-22,Infrastructures,Electric Utilities,755.00,755.00,735.00,755.00,2491700,351,7600000,935127488
